round,item_name,n_reached,usage_matches,usage_rate,wins_with,wins_without,winrate_with,winrate_without,delta_winrate,wilson_with_lo,wilson_with_hi,wilson_without_lo,wilson_without_hi
2,Broom,887,496,0.5591882750845547,362,285,0.4081172491544532,0.32130777903043967,0.08680947012401352,0.3762360534647485,0.44079090172010144,0.291402978100006,0.35275373842513164
2,Banana,887,461,0.5197294250281849,346,301,0.3900789177001127,0.33934611048478014,0.050732807215332576,0.35851854473981704,0.42258732189236536,0.308938068259141,0.371139736818664
2,Garlic,887,440,0.496054114994363,335,312,0.37767756482525366,0.35174746335963925,0.02593010146561442,0.34636427501198214,0.41004584324024135,0.3210226162415887,0.38375093721617526
2,Relic Case,887,457,0.5152198421645998,309,338,0.3483652762119504,0.3810597519729425,-0.0326944757609921,0.31772451794072115,0.3803138314134176,0.3496769060060588,0.41346841634978987
2,Shiny Shell,887,385,0.43404735062006766,273,374,0.30777903043968435,0.42164599774520856,-0.1138669673055242,0.2782857956841107,0.33893010442652627,0.3895536382344356,0.45441413336491493
2,Healing Herbs,887,322,0.36302142051860203,245,402,0.2762119503945885,0.4532130777903044,-0.17700112739571588,0.24779933665922543,0.3065546584842434,0.42072412668203263,0.48610554988448607
2,Fanny Pack,887,301,0.33934611048478014,223,424,0.25140924464487036,0.47801578354002255,-0.2266065388951522,0.22397264621168844,0.2809898521718627,0.44530804887362513,0.5109131244528113
2,Stone,887,306,0.34498308906426156,220,427,0.2480270574971815,0.4813979706877114,-0.23337091319052988,0.22073282337365885,0.27749447090626705,0.448666668070244,0.5142897093598177
2,Fly Agaric,887,252,0.28410372040586246,189,458,0.21307779030439683,0.5163472378804961,-0.30326944757609925,0.18739664025041214,0.24123354495872046,0.48346006689231996,0.549093419608535
2,Pan,887,249,0.2807215332581736,179,468,0.20180383314543404,0.5276211950394588,-0.32581736189402477,0.1767026522406234,0.22947685262309206,0.4947178516557428,0.5602863151905294
2,Wooden Sword,887,265,0.2987598647125141,173,474,0.19503945885005636,0.5343855693348365,-0.33934611048478014,0.17030151143044767,0.22240758522601747,0.5014805339744193,0.5669940410791032
2,Pocket Sand,887,224,0.2525366403607666,170,477,0.19165727170236754,0.5377677564825254,-0.3461104847801578,0.16710540422907483,0.21886848832376515,0.5048641339634719,0.5703456451936757
2,Star of Courage,887,231,0.26042841037204056,163,484,0.18376550169109357,0.5456595264937993,-0.36189402480270577,0.15965980816478387,0.21059860814626408,0.5127650722311193,0.5781601831678204
2,Lump of Coal,887,207,0.23337091319052988,154,493,0.17361894024802707,0.5558060879368658,-0.38218714768883877,0.1501126756514846,0.19994012834868788,0.5229355453826193,0.5881953223271957
2,Wooden Buckler,887,199,0.22435174746335965,147,500,0.1657271702367531,0.5636978579481398,-0.39797068771138666,0.14270834059504406,0.19162898716333637,0.5308553931979362,0.595990950753671
2,Walrus Tusk,887,168,0.18940248027057496,125,522,0.14092446448703494,0.588500563697858,-0.44757609921082303,0.11957163836663208,0.1653741926318305,0.5558009428367326,0.6204368978747922
2,Whetstone,887,167,0.1882750845546787,115,532,0.12965050732807215,0.5997745208568207,-0.47012401352874855,0.10913063671852637,0.15336451393451903,0.5671675954428489,0.6315209256140931
