A,B,nAB,nA,nB,M,pAB,pA,pB,lift,pmi
Cap of Resilience,Stone Helm,59,289,183,887,0.0665163472378805,0.3258173618940248,0.20631341600901917,0.9895248359710326,-0.015192177121816136
Burning Coal,Flawed Sapphire,37,214,155,887,0.04171364148816235,0.24126268320180383,0.17474633596392333,0.989418148929756,-0.015347731745370569
Mana Mastery,Storage Coffin,27,49,494,887,0.030439684329199548,0.0552423900789177,0.5569334836527621,0.9893827976534743,-0.015399279235353577
Pineapple,Protective Purse,66,75,789,887,0.07440811724915446,0.08455467869222097,0.8895152198421646,0.989302915082383,-0.015515766849821755
Protective Purse,Regular Sapphire,66,789,75,887,0.07440811724915446,0.8895152198421646,0.08455467869222097,0.9893029150823827,-0.01551576684982224
Protective Purse,Staff of Unhealing,44,789,50,887,0.0496054114994363,0.8895152198421646,0.05636978579481398,0.9893029150823826,-0.015515766849822404
Fancy Fencing Rapier,Flawed Emerald,27,136,178,887,0.030439684329199548,0.15332581736189402,0.20067643742953778,0.9893010575016523,-0.015518475752204787
Snake,Stone Helm,30,147,183,887,0.033821871476888386,0.1657271702367531,0.20631341600901917,0.9891825582692092,-0.015691293210824624
Burning Coal,Fanfare,21,214,88,887,0.02367531003382187,0.24126268320180383,0.0992108229988726,0.9891142735768903,-0.01579088795862018
Poison Frog,Stamina Sack,108,116,835,887,0.12175873731679819,0.13077790304396844,0.9413754227733935,0.9890150733016724,-0.015935586024454475
Flawed Amethyst,Time Melting,21,258,73,887,0.02367531003382187,0.29086809470124014,0.08229988726042842,0.9890092386110225,-0.01594409722344732
Fanny Pack,Shielded,93,878,95,887,0.10484780157835401,0.9898534385569335,0.10710259301014656,0.9889821364344804,-0.015983632457210566
Amulet of Steel,Oil Lamp,39,132,265,887,0.043968432919954906,0.1488162344983089,0.2987598647125141,0.9889365351629502,-0.016050155645702807
Lump of Coal,Prismatic Orb,31,79,352,887,0.03494926719278467,0.08906426155580609,0.3968432919954904,0.988816168009206,-0.01622576212646104
Darksaber,Prismatic Orb,31,79,352,887,0.03494926719278467,0.08906426155580609,0.3968432919954904,0.988816168009206,-0.01622576212646104
Piggy Pinata,Relic Case,27,53,457,887,0.030439684329199548,0.05975197294250282,0.5152198421645998,0.9887700755542711,-0.01629301315673644
Nocturnal Lock Lifter,Potion Belt,167,188,797,887,0.1882750845546787,0.21195039458850057,0.8985343855693348,0.9886075442483782,-0.016530178892993148
Banana,Chipped Ruby,71,277,230,887,0.08004509582863585,0.31228861330326946,0.2593010146561443,0.9884947417987757,-0.01669480318781758
Amulet of Life,Potion Belt,127,143,797,887,0.14317925591882752,0.161217587373168,0.8985343855693348,0.9884005580366936,-0.016832269695631414
Cauldron,Flawed Emerald,24,121,178,887,0.02705749718151071,0.13641488162344984,0.20067643742953778,0.9883926084130373,-0.01684387321877234
Holo Fire Lizard,Maneki-neko,50,132,340,887,0.05636978579481398,0.1488162344983089,0.3833145434047351,0.9881907308377895,-0.017138571420366823
Amulet of Fortune,Djinn Lamp,23,116,178,887,0.02593010146561443,0.13077790304396844,0.20067643742953778,0.9880375823324292,-0.017362175735893225
Leather Bag,Poison Dagger,75,886,76,887,0.08455467869222097,0.9988726042841037,0.08568207440811725,0.9879559225377212,-0.017481417201659095
False Life,No Rush Please,21,173,109,887,0.02367531003382187,0.19503945885005636,0.12288613303269448,0.9878029379010449,-0.01770483533382654
Mana Orb,Shielded,33,312,95,887,0.03720405862457723,0.35174746335963925,0.10710259301014656,0.9875506072874494,-0.018073413533678903
Cursed Dagger,Fanny Pack,174,178,878,887,0.19616685456595265,0.20067643742953778,0.9898534385569335,0.9875483094878553,-0.01807677035196393
King Crown,Potion Belt,63,71,797,887,0.07102593010146561,0.08004509582863585,0.8985343855693348,0.987523636170852,-0.01811281569417338
King Crown,Stamina Sack,66,71,835,887,0.07440811724915446,0.08004509582863585,0.9413754227733935,0.9874673188833601,-0.018195093206579162
Amulet of Feasting,Stamina Sack,66,71,835,887,0.07440811724915446,0.08004509582863585,0.9413754227733935,0.9874673188833601,-0.018195093206579162
Heroic Potion,Wolpertinger,31,132,211,887,0.03494926719278467,0.1488162344983089,0.237880496054115,0.9872540571592704,-0.018506703377699538
Amulet of Steel,Wolpertinger,31,132,211,887,0.03494926719278467,0.1488162344983089,0.237880496054115,0.9872540571592704,-0.018506703377699538
Amulet of Darkness,Toad,51,128,358,887,0.05749718151071026,0.14430665163472378,0.4036076662908681,0.9871901187150838,-0.01860014099169699
Burning Coal,Snake,35,214,147,887,0.03945885005636979,0.24126268320180383,0.1657271702367531,0.9868713840676459,-0.01906601999148086
Flawed Ruby,Stamina Sack,170,183,835,887,0.19165727170236754,0.20631341600901917,0.9413754227733935,0.9868132587284448,-0.019150995206691276
Box of Riches,Djinn Lamp,20,101,178,887,0.02254791431792559,0.11386696730552424,0.20067643742953778,0.9867615975080654,-0.019226524529766347
Blueberries,Potion Belt,336,379,797,887,0.3788049605411499,0.42728297632469,0.8985343855693348,0.986655101750297,-0.01938223508173945
Miss Fortune,Regular Topaz,28,203,124,887,0.03156708004509583,0.22886133032694475,0.13979706877113868,0.9866518353726363,-0.01938701121338333
Divine Potion,Poison Frog,28,217,116,887,0.03156708004509583,0.24464487034949267,0.13077790304396844,0.9866518353726363,-0.01938701121338333
Amulet of Darkness,Fanny Pack,125,128,878,887,0.14092446448703494,0.14430665163472378,0.9898534385569335,0.9865728217539863,-0.0195025505722073
Flawed Ruby,Glowing Crown,46,183,226,887,0.05186020293122886,0.20631341600901917,0.2547914317925592,0.9865564098844237,-0.019526550341153543
Mana Mastery,Protective Purse,43,49,789,887,0.048478015783540024,0.0552423900789177,0.8895152198421646,0.9865497529810402,-0.019536285125505117
Buy the Holy Light,Protective Purse,43,49,789,887,0.048478015783540024,0.0552423900789177,0.8895152198421646,0.9865497529810402,-0.019536285125505117
Corrupted Crystal,Strong Pestilence Flask,50,405,111,887,0.05636978579481398,0.45659526493799324,0.12514092446448705,0.9865420976532087,-0.019547480046304612
Cap of Resilience,Platinum Customer Card,63,289,196,887,0.07102593010146561,0.3258173618940248,0.2209695603156708,0.986529906080079,-0.019565308814906878
Magic Torch,Potion Belt,39,44,797,887,0.043968432919954906,0.0496054114994363,0.8985343855693348,0.9864548876468576,-0.019675019464456676
Potion Belt,Serpent Staff,39,797,44,887,0.043968432919954906,0.8985343855693348,0.0496054114994363,0.9864548876468575,-0.01967501946445684
Stamina Sack,Stone Shoes,78,835,84,887,0.08793686583990981,0.9413754227733935,0.09470124013528748,0.986398631308811,-0.019757296976862564
Flawless Ruby,Stamina Sack,39,42,835,887,0.043968432919954906,0.04735062006764374,0.9413754227733935,0.986398631308811,-0.019757296976862564
Ruby Chonk,Stamina Sack,104,112,835,887,0.11724915445321307,0.1262683201803833,0.9413754227733935,0.9863986313088109,-0.019757296976862723
Fortuna's Kiss,Stamina Sack,52,56,835,887,0.058624577226606536,0.06313416009019165,0.9413754227733935,0.9863986313088109,-0.019757296976862723
Cap of Discomfort,Red Orchid Collar,21,497,38,887,0.02367531003382187,0.560315670800451,0.04284103720405862,0.986286137879911,-0.0199218379260475
Chipped Emerald,Potion Belt,202,228,797,887,0.2277339346110485,0.2570462232243517,0.8985343855693348,0.9860111382597021,-0.020324151102354616
Chipped Emerald,Snow Stick,56,228,221,887,0.06313416009019165,0.2570462232243517,0.2491544532130778,0.9857902675240137,-0.020647357197505243
Bloody Dagger,Leather Bag,64,65,886,887,0.07215332581736189,0.07328072153325817,0.9988726042841037,0.9857266886612259,-0.02074040728240891
Doom Cap,Strong Heroic Potion,32,160,180,887,0.036076662908680945,0.18038331454340473,0.20293122886133033,0.9855555555555555,-0.020990896915973233
Mr. Struggles,Regular Sapphire,29,348,75,887,0.03269447576099211,0.3923337091319053,0.08455467869222097,0.9855555555555555,-0.020990896915973233
Echoing Battlecry,Potion Belt,85,96,797,887,0.09582863585118377,0.10822998872604284,0.8985343855693348,0.985400982852363,-0.02121718427286237
Flute,Stamina Sack,115,124,835,887,0.12965050732807215,0.13979706877113868,0.9413754227733935,0.9851748116669885,-0.021548352502850827
Regular Emerald,Toad,33,83,358,887,0.03720405862457723,0.0935738444193912,0.4036076662908681,0.985091202800027,-0.021670794951663686
Relic Case,Ruby Whelp,68,457,134,887,0.07666290868094701,0.5152198421645998,0.15107102593010147,0.9849439890264213,-0.0218864099644391
Chipped Emerald,Lump of Coal,20,228,79,887,0.02254791431792559,0.2570462232243517,0.08906426155580609,0.9848989562513881,-0.021952373153418137
Blueberries,Stone Helm,77,379,183,887,0.08680947012401354,0.42728297632469,0.20631341600901917,0.9847455916490044,-0.0221770414591689
Stamina Sack,Vampiric Gloves,114,835,123,887,0.12852311161217586,0.9413754227733935,0.1386696730552424,0.984547977216299,-0.022466584234848975
Amulet of Darkness,Stone Helm,26,128,183,887,0.029312288613303268,0.14430665163472378,0.20631341600901917,0.9845457650273225,-0.022469825841886285
Mana Orb,Snowball,98,312,283,887,0.1104847801578354,0.35174746335963925,0.31905298759864714,0.9844840083355983,-0.022560323277858705
Cap of Resilience,Oil Lamp,85,289,265,887,0.09582863585118377,0.3258173618940248,0.2987598647125141,0.9844617092119867,-0.022593001512474644
Fanny Pack,Flawless Emerald,38,878,39,887,0.04284103720405862,0.9898534385569335,0.043968432919954906,0.9843467087202848,-0.02276154065295742
No Rush Please,Stamina Sack,101,109,835,887,0.11386696730552424,0.12288613303269448,0.9413754227733935,0.9843102785255178,-0.022814935085482303
Amulet of Fortune,Fanny Pack,113,116,878,887,0.1273957158962796,0.13077790304396844,0.9898534385569335,0.9841233995758386,-0.023088867946678564
Potion Belt,Power of the Moon,84,797,95,887,0.09470124013528748,0.8985343855693348,0.10710259301014656,0.9840586409562173,-0.02318380524159557
Glowing Crown,Mrs. Struggles,87,226,347,887,0.09808342728297632,0.2547914317925592,0.39120631341600903,0.98402234066971,-0.023237024843656553
Fancy Fencing Rapier,Protective Purse,119,136,789,887,0.13416009019165728,0.15332581736189402,0.8895152198421646,0.9836818757921421,-0.02373627365479039
Chili Pepper,Protective Purse,42,48,789,887,0.04735062006764374,0.05411499436302142,0.8895152198421646,0.983681875792142,-0.023736273654790554
Cheese,Protective Purse,28,32,789,887,0.03156708004509583,0.036076662908680945,0.8895152198421646,0.983681875792142,-0.023736273654790554
Falcon Blade,Protective Purse,21,24,789,887,0.02367531003382187,0.02705749718151071,0.8895152198421646,0.983681875792142,-0.023736273654790554
Fanny Pack,Poison Spear,37,878,38,887,0.04171364148816235,0.9898534385569335,0.04284103720405862,0.9836650281740797,-0.02376098304893016
Doom Cap,Regular Topaz,22,160,124,887,0.02480270574971815,0.18038331454340473,0.13979706877113868,0.9835685483870968,-0.02390249233587632
Chipped Sapphire,Vampiric Gloves,24,176,123,887,0.02705749718151071,0.1984216459977452,0.1386696730552424,0.983370288248337,-0.02419332895431703
Corrupted Crystal,Mana Mastery,22,405,49,887,0.02480270574971815,0.45659526493799324,0.0552423900789177,0.9833207357016881,-0.02426602894883413
Mrs. Struggles,Regular Ruby,40,347,104,887,0.04509582863585118,0.39120631341600903,0.11724915445321307,0.9831522943914873,-0.02451318153092706
Fanny Pack,Tim,36,878,37,887,0.040586245772266064,0.9898534385569335,0.04171364148816235,0.9829465000307824,-0.02481519942093181
Mana Orb,Nocturnal Lock Lifter,65,312,188,887,0.07328072153325817,0.35174746335963925,0.21195039458850057,0.9829343971631205,-0.02483296321036746
Divine Potion,Flawed Ruby,44,217,183,887,0.0496054114994363,0.24464487034949267,0.20631341600901917,0.9828007353126338,-0.025029157790160624
Lump of Coal,Relic Case,40,79,457,887,0.04509582863585118,0.08906426155580609,0.5152198421645998,0.9827438163033543,-0.025112714046746417
Mr. Struggles,Regular Emerald,32,348,83,887,0.036076662908680945,0.3923337091319053,0.0935738444193912,0.982689378202465,-0.02519263289458916
Doom Cap,Stamina Sack,148,160,835,887,0.1668545659526494,0.18038331454340473,0.9413754227733935,0.9826047904191617,-0.02531682231876321
Hammer,Leather Bag,53,54,886,887,0.05975197294250282,0.060879368658399095,0.9988726042841037,0.9825892483906029,-0.025339641854223622
Pocket Sand,Potion Belt,98,111,797,887,0.1104847801578354,0.12514092446448705,0.8985343855693348,0.9825810754292561,-0.025351641924305654
Chipped Amethyst,Pineapple,25,301,75,887,0.02818489289740699,0.33934611048478014,0.08455467869222097,0.982281284606866,-0.025791883179794303
Corrupted Armor,Flawed Amethyst,90,315,258,887,0.10146561443066517,0.3551296505073281,0.29086809470124014,0.9822812846068659,-0.025791883179794466
Dark Ritual,Flawed Amethyst,24,84,258,887,0.02705749718151071,0.09470124013528748,0.29086809470124014,0.9822812846068659,-0.025791883179794466
Lump of Coal,Shelly,37,79,423,887,0.04171364148816235,0.08906426155580609,0.4768883878241263,0.9821049166591855,-0.026050941367038866
Light Goobert,Stamina Sack,49,53,835,887,0.0552423900789177,0.05975197294250282,0.9413754227733935,0.9821037170941137,-0.02605270350834159
Spiked Shield,Toad,21,53,358,887,0.02367531003382187,0.05975197294250282,0.4036076662908681,0.981711816169495,-0.026628514747631598
Amulet of Feasting,Protective Purse,62,71,789,887,0.06989853438556934,0.08004509582863585,0.8895152198421646,0.9817026366054376,-0.026642004830201346
Moon Shield,Oil Lamp,39,133,265,887,0.043968432919954906,0.14994363021420518,0.2987598647125141,0.9815009221166123,-0.026938471788438844
Potion Belt,Relic Case,403,797,457,887,0.45434047350620066,0.8985343855693348,0.5152198421645998,0.9814182835523805,-0.027059946219510276
Chipped Emerald,Strong Pestilence Flask,28,228,111,887,0.03156708004509583,0.2570462232243517,0.12514092446448705,0.9813497708234551,-0.027160664156179567
Amulet of Steel,Corrupted Armor,46,132,315,887,0.05186020293122886,0.1488162344983089,0.3551296505073281,0.9812890812890812,-0.02724988738765562
Bloodthorne,Glowing Crown,31,124,226,887,0.03494926719278467,0.13979706877113868,0.2547914317925592,0.9811946902654867,-0.027388668114123913
Snake,Vampiric Gloves,20,147,123,887,0.02254791431792559,0.1657271702367531,0.1386696730552424,0.9811404236491345,-0.02746846098717804
Chipped Topaz,Stamina Sack,229,248,835,887,0.25817361894024804,0.27959413754227735,0.9413754227733935,0.9808914429206104,-0.027834615350281998
Fanny Pack,Winged Boots,100,878,103,887,0.11273957158962795,0.9898534385569335,0.1161217587373168,0.9808257956078467,-0.027931172642787907
Holdall,Stamina Sack,36,39,835,887,0.040586245772266064,0.043968432919954906,0.9413754227733935,0.9805619530170427,-0.02831931048028681
Fanny Pack,Puzzlebag of Endurance,33,878,34,887,0.03720405862457723,0.9898534385569335,0.038331454340473504,0.9805373174326677,-0.028355557126180465
Platinum Customer Card,Stone Skin Potion,26,196,120,887,0.029312288613303268,0.2209695603156708,0.13528748590755355,0.9805272108843537,-0.028370427281570788
Amulet of Life,Corrupted Crystal,64,143,405,887,0.07215332581736189,0.161217587373168,0.45659526493799324,0.9801951135284468,-0.02885914024931271
Customer Card,Toad,36,91,358,887,0.040586245772266064,0.10259301014656144,0.4036076662908681,0.9801706673215054,-0.028895121719576356
Burning Coal,Flawed Amethyst,61,214,258,887,0.06877113866967305,0.24126268320180383,0.29086809470124014,0.979986234876476,-0.029166609960451163
Nocturnal Lock Lifter,Strong Health Potion,27,188,130,887,0.030439684329199548,0.21195039458850057,0.14656144306651633,0.9799099836333879,-0.029278868241559466
Amulet of Fortune,Stamina Sack,107,116,835,887,0.12063134160090191,0.13077790304396844,0.9413754227733935,0.9798575263266569,-0.029356101786776057
Regular Amethyst,Shelly,57,122,423,887,0.06426155580608793,0.1375422773393461,0.4768883878241263,0.9797116614347169,-0.02957088221703047
Fly Agaric,Snow Stick,31,127,221,887,0.03494926719278467,0.14317925591882752,0.2491544532130778,0.9796914525955749,-0.02960064147565832
Relic Case,Shield of Valor,54,457,107,887,0.060879368658399095,0.5152198421645998,0.12063134160090191,0.9795292337266609,-0.02983954499468449
No Rush Please,Relic Case,55,109,457,887,0.06200676437429538,0.12288613303269448,0.5152198421645998,0.9793628169353381,-0.030084672009272655
Cursed Dagger,Shiny Shell,34,178,173,887,0.038331454340473504,0.20067643742953778,0.19503945885005636,0.9793466259660971,-0.030108523051719356
Deck of Cards,Regular Emerald,23,251,83,887,0.02593010146561443,0.2829763246899662,0.0935738444193912,0.9792636682186914,-0.03023073493962018
Bloodthorne,Protective Purse,108,124,789,887,0.12175873731679819,0.13979706877113868,0.8895152198421646,0.9791487795903348,-0.03040000393580146
Corrupted Crystal,Flame Badge,38,405,85,887,0.04284103720405862,0.45659526493799324,0.09582863585118377,0.9791140159767611,-0.03045122616503947
Regular Ruby,Stone Helm,21,104,183,887,0.02367531003382187,0.11724915445321307,0.20631341600901917,0.9787200504413619,-0.031031839345310477
Amulet of the Wild,Protective Purse,121,139,789,887,0.13641488162344984,0.15670800450958286,0.8895152198421646,0.9786269843440837,-0.03116903116130755
Flawed Emerald,Storage Coffin,97,178,494,887,0.10935738444193913,0.20067643742953778,0.5569334836527621,0.9784720010917528,-0.03139752606288372
Poison Frog,Wolpertinger,27,116,211,887,0.030439684329199548,0.13077790304396844,0.237880496054115,0.9784687040366072,-0.0314023873702249
Banana,Strong Heroic Potion,55,277,180,887,0.06200676437429538,0.31228861330326946,0.20293122886133033,0.9784396309667067,-0.031445254553139644
Cap of Discomfort,Corrupted Crystal,222,497,405,887,0.2502818489289741,0.560315670800451,0.45659526493799324,0.9782845219464938,-0.0316739786831033
Amulet of the Wild,Stamina Sack,128,139,835,887,0.14430665163472378,0.15670800450958286,0.9413754227733935,0.9782104855038124,-0.0317831657838583
Fanny Pack,Strong Demonic Flask,122,878,126,887,0.1375422773393461,0.9898534385569335,0.14205186020293123,0.9781791228260476,-0.03182942117132462
Cap of Discomfort,Regular Ruby,57,497,104,887,0.06426155580608793,0.560315670800451,0.11724915445321307,0.9781574059743073,-0.03186145123757284
Cap of Resilience,Potion Belt,254,289,797,887,0.28635851183765504,0.3258173618940248,0.8985343855693348,0.9781403446314685,-0.03188661541792067
Ruby Chonk,Storage Coffin,61,112,494,887,0.06877113866967305,0.1262683201803833,0.5569334836527621,0.9779316078658182,-0.03219452177833184
Amulet of Life,Miss Fortune,32,143,203,887,0.036076662908680945,0.161217587373168,0.22886133032694475,0.9777808398498053,-0.03241695966250179
Frostbite,Protective Purse,40,46,789,887,0.04509582863585118,0.05186020293122886,0.8895152198421646,0.9775720504766628,-0.03272505688204512
Chipped Ruby,Divine Potion,55,230,217,887,0.06200676437429538,0.2593010146561443,0.24464487034949267,0.9774594269685434,-0.03289127556313105
Deck of Cards,Shelly,117,251,423,887,0.1319052987598647,0.2829763246899662,0.4768883878241263,0.9774518945494617,-0.03290239318625338
Chipped Ruby,Potion Belt,202,230,797,887,0.2277339346110485,0.2593010146561443,0.8985343855693348,0.9774371283617916,-0.03292418788198818
Staff of Unhealing,Stamina Sack,46,50,835,887,0.05186020293122886,0.05636978579481398,0.9413754227733935,0.9772934131736528,-0.03313632677806234
Flawed Amethyst,Power of the Moon,27,258,95,887,0.030439684329199548,0.29086809470124014,0.10710259301014656,0.9771113831089351,-0.033405067289669604
Platinum Customer Card,Prismatic Orb,76,196,352,887,0.08568207440811725,0.2209695603156708,0.3968432919954904,0.9770987940630795,-0.033423655007856455
Amulet of Life,Fly Agaric,20,143,127,887,0.02254791431792559,0.161217587373168,0.14317925591882752,0.9768184571334178,-0.03383763436212906
Smelly Wall,Stamina Sack,80,87,835,887,0.09019165727170236,0.09808342728297632,0.9413754227733935,0.9768050106683184,-0.03385749402171689
Flawed Ruby,Protective Purse,159,183,789,887,0.17925591882750846,0.20631341600901917,0.8895152198421646,0.9767707619106983,-0.03390807871208174
Heart Container,Protective Purse,139,160,789,887,0.15670800450958286,0.18038331454340473,0.8895152198421646,0.9766555766793411,-0.03407821787624932
Buy the Holy Light,Potion Belt,43,49,797,887,0.048478015783540024,0.0552423900789177,0.8985343855693348,0.9766471205797249,-0.03409070910251828
Fanny Pack,Stone Skin Potion,116,878,120,887,0.13077790304396844,0.9898534385569335,0.13528748590755355,0.9765755504935459,-0.03419643571524071
Cap of Resilience,Heroic Potion,42,289,132,887,0.04735062006764374,0.3258173618940248,0.1488162344983089,0.9765649575338156,-0.03421208477930825
Protective Purse,Stone,33,789,38,887,0.03720405862457723,0.8895152198421646,0.04284103720405862,0.9762857714628776,-0.03462458979752682
Blood Manipulation,Potion Belt,100,114,797,887,0.11273957158962795,0.12852311161217586,0.8985343855693348,0.9762486517422793,-0.03467944407942473
Flawless Topaz,Potion Belt,50,57,797,887,0.05636978579481398,0.06426155580608793,0.8985343855693348,0.9762486517422793,-0.03467944407942473
Cap of Discomfort,Demonic Flask,99,497,181,887,0.11161217587373168,0.560315670800451,0.2040586245772266,0.9761663906088464,-0.034801014264818166
Flawed Topaz,Shelly,108,232,423,887,0.12175873731679819,0.2615558060879369,0.4768883878241263,0.9761555392516507,-0.03481705178298959
Poison Frog,Shelly,54,116,423,887,0.060879368658399095,0.13077790304396844,0.4768883878241263,0.9761555392516507,-0.03481705178298959
Stamina Sack,Strong Pestilence Flask,102,835,111,887,0.11499436302142052,0.9413754227733935,0.12514092446448705,0.9761450072827319,-0.03483261743896097
Amulet of Alchemy,Platinum Customer Card,22,102,196,887,0.02480270574971815,0.11499436302142052,0.2209695603156708,0.9760904361744698,-0.03491327314834269
Relic Case,Shiny Shell,87,457,173,887,0.09808342728297632,0.5152198421645998,0.19503945885005636,0.9760691111926233,-0.03494479254500233
Holy Armor,Toad,26,66,358,887,0.029312288613303268,0.07440811724915446,0.4036076662908681,0.9760453699001185,-0.034979884180553866
Frostbite,Storage Coffin,25,46,494,887,0.02818489289740699,0.05186020293122886,0.5569334836527621,0.975840521035029,-0.03528270356590194
Light Goobert,Protective Purse,46,53,789,887,0.05186020293122886,0.05975197294250282,0.8895152198421646,0.9757275749097257,-0.035449694218580935
Blood Amulet,Oil Lamp,65,223,265,887,0.07328072153325817,0.25140924464487036,0.2987598647125141,0.9756324562145695,-0.03559034204134824
Cauldron,Protective Purse,105,121,789,887,0.11837655016910936,0.13641488162344984,0.8895152198421646,0.9755522735128681,-0.035708915320866445
Crow,Djinn Lamp,46,235,178,887,0.05186020293122886,0.2649379932356257,0.20067643742953778,0.9754243366005259,-0.035898127173320846
Death Scythe,Fanny Pack,140,145,878,887,0.15783540022547915,0.16347237880496054,0.9898534385569335,0.975414342942424,-0.035912908304262296
Cursed Dagger,Potion Belt,156,178,797,887,0.17587373167981962,0.20067643742953778,0.8985343855693348,0.9753711248643085,-0.035976831793557346
Cap of Resilience,Shield of Valor,34,289,107,887,0.038331454340473504,0.3258173618940248,0.12063134160090191,0.9752611324903793,-0.03613953335042257
Flawed Sapphire,Toad,61,155,358,887,0.06877113866967305,0.17474633596392333,0.4036076662908681,0.9750765903766444,-0.03641255067454388
Regular Amethyst,Toad,48,122,358,887,0.05411499436302142,0.1375422773393461,0.4036076662908681,0.9748145434563604,-0.03680031980492271
Jimbo,Toad,24,61,358,887,0.02705749718151071,0.06877113866967305,0.4036076662908681,0.9748145434563604,-0.03680031980492271
Gloves of Power,Protective Purse,26,30,789,887,0.029312288613303268,0.033821871476888386,0.8895152198421646,0.9743134769750739,-0.03754207317982112
Demonic Flask,Stamina Sack,166,181,835,887,0.1871476888387824,0.2040586245772266,0.9413754227733935,0.9742415721044101,-0.037648548796631105
Fly Agaric,Shelly,59,127,423,887,0.0665163472378805,0.14317925591882752,0.4768883878241263,0.9741628041175703,-0.037765196229210644
Heavy Drinking,Potion Belt,77,88,797,887,0.08680947012401354,0.0992108229988726,0.8985343855693348,0.9738080301129236,-0.03829069763180358
Fanfare,Potion Belt,77,88,797,887,0.08680947012401354,0.0992108229988726,0.8985343855693348,0.9738080301129236,-0.03829069763180358
Fortuna's Kiss,Potion Belt,49,56,797,887,0.0552423900789177,0.06313416009019165,0.8985343855693348,0.9738080301129235,-0.03829069763180374
Mrs. Struggles,Stone Shoes,32,347,84,887,0.036076662908680945,0.39120631341600903,0.09470124013528748,0.9737889392068065,-0.03831898105595748
Stamina Sack,Vampiric Potion,88,835,96,887,0.0992108229988726,0.9413754227733935,0.10822998872604284,0.9737524950099801,-0.03837297514420958
Stamina Sack,Wand of Equilibrium,22,835,24,887,0.02480270574971815,0.9413754227733935,0.02705749718151071,0.9737524950099801,-0.03837297514420958
Cap of Discomfort,Magic Torch,24,497,44,887,0.02705749718151071,0.560315670800451,0.0496054114994363,0.9734772269983538,-0.038780865177363275
Djinn Lamp,Garlic,25,178,128,887,0.02818489289740699,0.20067643742953778,0.14430665163472378,0.9732707162921347,-0.039086946890609396
Chipped Amethyst,No Rush Please,36,301,109,887,0.040586245772266064,0.33934611048478014,0.12288613303269448,0.9732695297022158,-0.039088705793252236
Flawed Sapphire,Snake,25,155,147,887,0.02818489289740699,0.17474633596392333,0.1657271702367531,0.9732280008777704,-0.03915026603481348
Cap of Resilience,Vampiric Gloves,39,289,123,887,0.043968432919954906,0.3258173618940248,0.1386696730552424,0.9731622921765549,-0.03924767467660656
Banana,Snowball,86,277,283,887,0.09695603156708005,0.31228861330326946,0.31905298759864714,0.9730964013726066,-0.03934535987790882
Banana,King Goobert,24,277,79,887,0.02705749718151071,0.31228861330326946,0.08906426155580609,0.9728099437919847,-0.0397701192040711
Banana,Lump of Coal,24,277,79,887,0.02705749718151071,0.31228861330326946,0.08906426155580609,0.9728099437919847,-0.0397701192040711
Banana,Darksaber,24,277,79,887,0.02705749718151071,0.31228861330326946,0.08906426155580609,0.9728099437919847,-0.0397701192040711
Mana Orb,Storage Coffin,169,312,494,887,0.19052987598647125,0.35174746335963925,0.5569334836527621,0.9725877192982456,-0.0400997198636778
Flame,Mana Orb,26,76,312,887,0.029312288613303268,0.08568207440811725,0.35174746335963925,0.9725877192982456,-0.0400997198636778
Chipped Emerald,Fanfare,22,228,88,887,0.02480270574971815,0.2570462232243517,0.0992108229988726,0.9725877192982456,-0.0400997198636778
Chipped Emerald,Heavy Drinking,22,228,88,887,0.02480270574971815,0.2570462232243517,0.0992108229988726,0.9725877192982456,-0.0400997198636778
Poison Frog,Shiny Shell,22,116,173,887,0.02480270574971815,0.13077790304396844,0.19503945885005636,0.9723938608730316,-0.04038730982593577
Banana,Potion Belt,242,277,797,887,0.27282976324689967,0.31228861330326946,0.8985343855693348,0.9723013647749457,-0.04052454846400185
Crow,Heroic Potion,34,235,132,887,0.038331454340473504,0.2649379932356257,0.1488162344983089,0.9722114764667956,-0.040657930372049865
Corrupted Armor,Stone Shoes,29,315,84,887,0.03269447576099211,0.3551296505073281,0.09470124013528748,0.9721466364323507,-0.04075415173740319
Lump of Coal,Potion Belt,69,79,797,887,0.0777903043968433,0.08906426155580609,0.8985343855693348,0.9720470752664265,-0.040901911088341444
Cap of Discomfort,Vampiric Armor,61,497,112,887,0.06877113866967305,0.560315670800451,0.1262683201803833,0.9720286001724631,-0.040929331755940546
Cauldron,Demonic Flask,24,121,181,887,0.02705749718151071,0.13641488162344984,0.2040586245772266,0.9720104104835394,-0.04095632933558002
Echoing Battlecry,Protective Purse,83,96,789,887,0.0935738444193912,0.10822998872604284,0.8895152198421646,0.971971377270807,-0.041014265086626034
Mana Orb,Platinum Customer Card,67,312,196,887,0.07553551296505073,0.35174746335963925,0.2209695603156708,0.9718243066457352,-0.04123257821862033
Deck of Cards,Health Potion,33,251,120,887,0.03720405862457723,0.2829763246899662,0.13528748590755355,0.9718127490039841,-0.041249735899773196
Amulet of the Wild,Jynx torquilla,30,139,197,887,0.033821871476888386,0.15670800450958286,0.22209695603156707,0.9717708067048898,-0.04131200227030143
Box of Riches,Crow,26,101,235,887,0.029312288613303268,0.11386696730552424,0.2649379932356257,0.9716452496313461,-0.04149841687463839
