A,B,nAB,nA,nB,M,pAB,pA,pB,lift,pmi
Deck of Cards,Holo Fire Lizard,131,251,132,887,0.14768883878241262,0.2829763246899662,0.1488162344983089,3.5070928407581787,1.8102756225292884
Nocturnal Lock Lifter,The Lovers,46,188,62,887,0.05186020293122886,0.21195039458850057,0.06989853438556934,3.5005147563486614,1.8075670882935642
Death Scythe,Serpent Staff,25,145,44,887,0.02818489289740699,0.16347237880496054,0.0496054114994363,3.475705329153605,1.7973057754235569
Blood Amulet,Hungry Blade,20,223,23,887,0.02254791431792559,0.25140924464487036,0.02593010146561443,3.4587638915968024,1.7902565332111087
Fancy Fencing Rapier,Goobling,20,136,38,887,0.02254791431792559,0.15332581736189402,0.04284103720405862,3.4326625386996907,1.7793280344945015
Bloodthorne,Vampiric Potion,46,124,96,887,0.05186020293122886,0.13979706877113868,0.10822998872604284,3.4275873655913975,1.7771934392500452
Acorn Collar,Snake,22,39,147,887,0.02480270574971815,0.043968432919954906,0.1657271702367531,3.4038025466596893,1.7671473492397483
Bloodthorne,Heart Container,76,124,160,887,0.08568207440811725,0.13979706877113868,0.18038331454340473,3.397782258064516,1.7645934024704117
Nocturnal Lock Lifter,Vampiric Potion,69,188,96,887,0.0777903043968433,0.21195039458850057,0.10822998872604284,3.3911236702127665,1.7617633986804395
The Lovers,Vampiric Gloves,29,62,123,887,0.03269447576099211,0.06989853438556934,0.1386696730552424,3.3730658274324674,1.7540604737025207
Stone Armor,Strong Demonic Flask,55,115,126,887,0.06200676437429538,0.12965050732807215,0.14205186020293123,3.3668046928916495,1.7513800333814318
Acorn Collar,Fancy Fencing Rapier,20,39,136,887,0.02254791431792559,0.043968432919954906,0.15332581736189402,3.3446455505279036,1.7418533290758385
Bloodthorne,Pineapple,35,124,75,887,0.03945885005636979,0.13979706877113868,0.08455467869222097,3.3381720430107524,1.7390583103632742
Knife to Meet You,Strong Heroic Potion,21,31,180,887,0.02367531003382187,0.03494926719278467,0.20293122886133033,3.3381720430107524,1.7390583103632742
Pestilence Flask,Strong Demonic Flask,36,76,126,887,0.040586245772266064,0.08568207440811725,0.14205186020293123,3.3345864661654137,1.7375078587998742
Holo Fire Lizard,Ruby Chonk,55,132,112,887,0.06200676437429538,0.1488162344983089,0.1262683201803833,3.29985119047619,1.7224009664096656
Holo Fire Lizard,The Fool,24,132,49,887,0.02705749718151071,0.1488162344983089,0.0552423900789177,3.2912801484230054,1.7186488315485584
Regular Emerald,Regular Sapphire,23,83,75,887,0.02593010146561443,0.0935738444193912,0.08455467869222097,3.2772690763052212,1.7124941285152713
Health Potion,Strong Pestilence Flask,49,120,111,887,0.0552423900789177,0.13528748590755355,0.12514092446448705,3.262987987987988,1.7061936764576477
Ace of Spades,Holo Fire Lizard,30,62,132,887,0.033821871476888386,0.06989853438556934,0.1488162344983089,3.2514662756598236,1.7010904601642536
Jimbo,Ruby Chonk,25,61,112,887,0.02818489289740699,0.06877113866967305,0.1262683201803833,3.2457552693208434,1.6985542244552982
