round,item_name,matches_reached,usage_matches,usage_rate,wins,winrate_pct
13,Cap of Resilience,477,120,0.25157232704402516,112,93.33333333333333
13,Burning Coal,477,119,0.24947589098532494,114,95.7983193277311
13,Oil Lamp,477,119,0.24947589098532494,113,94.9579831932773
13,Chipped Topaz,477,113,0.23689727463312368,109,96.46017699115043
13,Customer Card,477,108,0.22641509433962265,101,93.51851851851852
13,Health Potion,477,99,0.20754716981132076,95,95.95959595959596
13,Strong Health Potion,477,97,0.20335429769392033,91,93.81443298969072
13,Nocturnal Lock Lifter,477,97,0.20335429769392033,87,89.69072164948454
13,Mr. Struggles,477,96,0.20125786163522014,93,96.875
13,Death Scythe,477,96,0.20125786163522014,90,93.75
13,Prismatic Orb,477,96,0.20125786163522014,87,90.625
13,Chipped Emerald,477,95,0.19916142557651992,88,92.63157894736842
13,Snowball,477,93,0.1949685534591195,89,95.6989247311828
13,Chipped Ruby,477,90,0.18867924528301888,85,94.44444444444444
13,Gloves of Haste,477,88,0.18448637316561844,84,95.45454545454545
13,Mrs. Struggles,477,87,0.18238993710691823,85,97.70114942528735
13,Stone Armor,477,86,0.18029350104821804,82,95.34883720930233
13,Snake,477,82,0.1719077568134172,81,98.78048780487805
13,Smelly Wall,477,81,0.16981132075471697,75,92.5925925925926
13,Bloodthorne,477,78,0.16352201257861634,74,94.87179487179486
13,Jynx torquilla,477,78,0.16352201257861634,73,93.58974358974359
13,Blood Amulet,477,77,0.16142557651991615,69,89.6103896103896
13,Healing Herbs,477,76,0.15932914046121593,73,96.05263157894737
13,Sir Sand,477,76,0.15932914046121593,73,96.05263157894737
13,Holo Fire Lizard,477,76,0.15932914046121593,72,94.73684210526315
13,Fancy Fencing Rapier,477,75,0.15723270440251572,74,98.66666666666667
13,Platinum Customer Card,477,75,0.15723270440251572,74,98.66666666666667
13,Amulet of the Wild,477,75,0.15723270440251572,72,96.0
13,Flawed Amethyst,477,75,0.15723270440251572,69,92.0
13,Stone Skin Potion,477,74,0.15513626834381553,71,95.94594594594594
13,Fly Agaric,477,71,0.1488469601677149,68,95.77464788732394
13,Strong Pestilence Flask,477,71,0.1488469601677149,66,92.95774647887323
13,Ace of Spades,477,70,0.14675052410901468,66,94.28571428571428
13,The Lovers,477,68,0.14255765199161424,64,94.11764705882352
13,Flawed Topaz,477,67,0.14046121593291405,66,98.50746268656717
13,Mana Orb,477,67,0.14046121593291405,65,97.01492537313433
13,Strong Demonic Flask,477,67,0.14046121593291405,63,94.02985074626866
13,Maneki-neko,477,66,0.13836477987421383,61,92.42424242424242
13,Corrupted Armor,477,64,0.13417190775681342,63,98.4375
13,Garlic,477,64,0.13417190775681342,54,84.375
13,Shiny Shell,477,63,0.1320754716981132,62,98.4126984126984
13,Poison Spear,477,62,0.129979035639413,59,95.16129032258065
13,Divine Potion,477,62,0.129979035639413,58,93.54838709677419
13,Demonic Flask,477,62,0.129979035639413,57,91.93548387096774
13,False Life,477,61,0.1278825995807128,57,93.44262295081968
13,Blood Manipulation,477,61,0.1278825995807128,53,86.88524590163934
13,Ruby Whelp,477,60,0.12578616352201258,58,96.66666666666667
13,Strong Heroic Potion,477,60,0.12578616352201258,57,95.0
13,Reverse!,477,60,0.12578616352201258,56,93.33333333333333
13,Leather Boots,477,57,0.11949685534591195,55,96.49122807017544
13,White-Eyes Blue Dragon,477,56,0.11740041928721175,52,92.85714285714286
13,Ruby Chonk,477,55,0.11530398322851153,53,96.36363636363636
13,Vampiric Gloves,477,55,0.11530398322851153,52,94.54545454545455
13,Pestilence Flask,477,54,0.11320754716981132,53,98.14814814814815
13,Chipped Sapphire,477,53,0.1111111111111111,51,96.22641509433963
13,Amulet of Alchemy,477,52,0.1090146750524109,49,94.23076923076923
13,Cauldron,477,51,0.1069182389937107,46,90.19607843137256
13,Doom Cap,477,50,0.10482180293501048,50,100.0
13,Amulet of Steel,477,50,0.10482180293501048,49,98.0
13,Miss Fortune,477,50,0.10482180293501048,48,96.0
13,Pocket Sand,477,50,0.10482180293501048,46,92.0
13,Star of Courage,477,50,0.10482180293501048,46,92.0
13,Amulet of Life,477,50,0.10482180293501048,45,90.0
13,Amulet of Energy,477,49,0.10272536687631027,45,91.83673469387756
13,Piggy Pinata,477,48,0.10062893081761007,45,93.75
13,Time Melting,477,47,0.09853249475890985,45,95.74468085106383
13,Flawed Emerald,477,47,0.09853249475890985,45,95.74468085106383
13,Amulet of Darkness,477,46,0.09643605870020965,42,91.30434782608695
13,Heavy Drinking,477,44,0.09224318658280922,43,97.72727272727273
13,Vampiric Potion,477,44,0.09224318658280922,40,90.9090909090909
13,Heroic Potion,477,43,0.09014675052410902,42,97.67441860465115
13,Wolpertinger,477,43,0.09014675052410902,41,95.34883720930233
13,Glowing Crown,477,42,0.0880503144654088,41,97.61904761904762
13,Flawed Ruby,477,42,0.0880503144654088,40,95.23809523809523
13,The Fool,477,42,0.0880503144654088,37,88.09523809523809
13,Shield of Valor,477,41,0.0859538784067086,39,95.1219512195122
13,Snow Stick,477,40,0.08385744234800839,39,97.5
13,Spiked Shield,477,38,0.07966457023060797,38,100.0
13,Power of the Moon,477,38,0.07966457023060797,35,92.10526315789474
13,Vampiric Armor,477,37,0.07756813417190776,36,97.2972972972973
13,Echoing Battlecry,477,37,0.07756813417190776,36,97.2972972972973
13,Heart Container,477,37,0.07756813417190776,33,89.1891891891892
13,Ruby Egg,477,35,0.07337526205450734,35,100.0
13,King Goobert,477,35,0.07337526205450734,34,97.14285714285714
13,Poison Dagger,477,35,0.07337526205450734,33,94.28571428571428
13,Flute,477,34,0.07127882599580712,33,97.05882352941177
13,Hammer,477,34,0.07127882599580712,33,97.05882352941177
13,Moon Shield,477,34,0.07127882599580712,32,94.11764705882352
13,Leaf Badge,477,33,0.06918238993710692,33,100.0
13,Holy Armor,477,33,0.06918238993710692,33,100.0
13,Stone Helm,477,33,0.06918238993710692,32,96.96969696969697
13,Full Body Protection,477,33,0.06918238993710692,32,96.96969696969697
13,Jimbo,477,33,0.06918238993710692,31,93.93939393939394
13,Paradise Birb,477,31,0.0649895178197065,31,100.0
13,Djinn Lamp,477,31,0.0649895178197065,30,96.7741935483871
13,Bagtacular,477,31,0.0649895178197065,30,96.7741935483871
13,Flame,477,31,0.0649895178197065,29,93.54838709677419
13,It’s Slime Time!,477,31,0.0649895178197065,29,93.54838709677419
13,Box of Prosperity,477,31,0.0649895178197065,29,93.54838709677419
13,Heart of the Cards,477,31,0.0649895178197065,26,83.87096774193549
13,Ice Dragon,477,30,0.06289308176100629,29,96.66666666666667
13,Amulet of Fortune,477,30,0.06289308176100629,28,93.33333333333333
13,Goobling,477,29,0.06079664570230608,28,96.55172413793103
13,Flame Badge,477,29,0.06079664570230608,27,93.10344827586206
13,No Rush Please,477,28,0.05870020964360587,28,100.0
13,Leather Armor,477,28,0.05870020964360587,26,92.85714285714286
13,Shielded,477,27,0.05660377358490566,26,96.29629629629629
13,Puzzle Badge,477,27,0.05660377358490566,24,88.88888888888889
13,Strong Stone Skin Potion,477,27,0.05660377358490566,23,85.18518518518519
13,Thornburst,477,26,0.05450733752620545,25,96.15384615384616
13,Holdall,477,25,0.05241090146750524,25,100.0
13,Fanfare,477,25,0.05241090146750524,25,100.0
13,Bloody Dagger,477,25,0.05241090146750524,24,96.0
13,Amulet of Feasting,477,25,0.05241090146750524,23,92.0
13,Crow,477,25,0.05241090146750524,23,92.0
